date,startup,vertical,subvertical,city,Investor,Type,amount,year,month,quarter
2017-09-25,synup,technology,sme marketing management solution,bangalore,vertex ventures,private equity,53.4Cr,2017,9,3
2017-09-25,tinmen,consumer internet,food delivery platform,hyderabad,zomato media pvt ltd,private equity,0.0Cr,2017,9,3
2017-09-25,cropin,technology,crop technology solutions,bangalore,beenext digital garage lightbox beenos,private equity,0.0Cr,2017,9,3
2017-09-25,rapido,consumer internet,bike aggregator mobile app,bangalore,battery road digital holdings llc,seed funding,3.7558Cr,2017,9,3
2017-09-25,sportobuddy,consumer internet,sports & sport related equipment portal,mumbai,mehul shah,seed funding,1.335Cr,2017,9,3
2017-09-26,credifiable,consumer internet,online consumer lending platform,bangalore,kae capital anoop goyal mike shah va sastry,private equity,0.0Cr,2017,9,3
2017-09-26,inclov,consumer internet,matchmaking app for the differently abled,gurgaon,rajan anandan jamil khatri ravi iyer raghav bahl,seed funding,0.0Cr,2017,9,3
2017-09-26,multibhashi,consumer internet,language learning mobile app,bangalore,aniruddha malpani startup oasis,seed funding,0.0Cr,2017,9,3
2017-09-27,transerve,technology,geospatial technology-based saas solutions,mumbai,ilandfs investment managers omidyar network,private equity,14.24Cr,2017,9,3
2017-09-27,fashalot,consumer internet,o2o fashion discovery platform,gurgaon,capillary technologies whiteboard capital yournest angel fund rajul garg,private equity,0.0Cr,2017,9,3
2017-09-27,pitstop,consumer internet,car repair and servicing platform,bangalore,blume ventures,private equity,8.9Cr,2017,9,3
2017-09-27,gochoppers,consumer internet,luxury helicopter tourism services portal,gurgaon,rivergate capital,seed funding,0.0Cr,2017,9,3
2017-09-27,myupchar,consumer internet,local language health information portal,new delhi,letsventure mumbai angels,seed funding,2.67Cr,2017,9,3
2017-09-28,aadyah,technology,defense tech & aerospace startup,bangalore,keiretsu forum,private equity,8.9Cr,2017,9,3
2017-08-01,touchkin,technology,predictive care platform,bangalore,kae capital anoop goyal mike shah va sastry,private equity,11.57Cr,2017,8,3
2017-08-02,ethinos,technology,digital marketing agency,mumbai,triton investment advisors pidilite industries director ajay parekh,private equity,0.0Cr,2017,8,3
2017-08-02,leverage edu,consumer internet,online platform for higher education services,new delhi,kashyap deorah anand sankeshwar deepak jain sadashiva nt arjun mehta satish kaul anindya ghose,seed funding,0.0Cr,2017,8,3
2017-08-02,zepo,consumer internet,diy ecommerce platform,mumbai,kunal shah letsventure anupam mittal hetal sonpal,seed funding,4.45Cr,2017,8,3
2017-08-02,click2clinic,consumer internet,healthcare service aggregator,hyderabad,narottam thudi shireesh palle,seed funding,7.565Cr,2017,8,3
2017-08-03,speedbox,logistics,on-demand logistics service provider,mumbai,cismat cargo services pvt ltd,seed funding,2.67Cr,2017,8,3
2017-08-03,skill connect,consumer internet,recruitment portal,jaipur,rajasthan angel investor network,seed funding,0.0Cr,2017,8,3
2017-08-03,chai point,consumer internet,tea delivery portal & offline stores,bangalore,dsg consumer partners eight roads ventures india,private equity,0.0Cr,2017,8,3
2017-08-03,zoctr,consumer internet,health products & services aggregator,mumbai,sidbi,private equity,0.0Cr,2017,8,3
2017-08-04,lime tray,technology,restaurant management solutions,new delhi,jsw ventures,private equity,0.0Cr,2017,8,3
2017-08-04,coutloot,ecommerce,fashion resale marketplace,mumbai,anuj puri redcliffe capital artha india ventures siddharth kothari apoorv ranjan sharma,seed funding,0.0Cr,2017,8,3
2017-08-04,box my space,logistics,warehouse aggregator,mumbai,r jayakumar vaibhav vohra aditya vazirani rhea vazirani avn business solutions dreamweaver investments,seed funding,0.0Cr,2017,8,3
2017-08-05,curatio,healthcare,skincare speciality services,chennai,anicut capital,private equity,0.0Cr,2017,8,3
2017-08-08,new castle technologies,technology,hospital management software,chennai,un disclosed investors,seed funding,2.1627Cr,2017,8,3
2017-08-08,my forex eye,consumer internet,foreign exchange services,new delhi,rahul dev kumar rajesh mahajan ankit sharma and others,seed funding,1.958Cr,2017,8,3
2017-08-09,truxapp,logistics,mobile based logistics service,new delhi,venugopal dhoot ajay bhatia tarun khandelwal ganpat singhvi mandhian family and others,seed funding,27.59Cr,2017,8,3
2017-08-09,crofarm,technology,agriculture supply chain solutions,gurgaon,factor[e] ventures,seed funding,6.9687Cr,2017,8,3
2017-08-09,doodhwala,consumer internet,online milk delivery,bangalore,tom varkey,seed funding,0.0Cr,2017,8,3
2017-08-10,stayabode,consumer internet,co-living space aggregator,bangalore,incubate fund sanjay shenoy mridul upreti,private equity,0.0Cr,2017,8,3
2017-08-11,flipkart,ecommerce,online marketplace,bangalore,softbank corp,private equity,22250.0Cr,2017,8,3
2017-08-11,moong labs,technology,mobile games developer,new delhi,nazara games,private equity,0.0Cr,2017,8,3
2017-08-11,ola cabs,consumer internet,app based cab aggregation service,gurgaon,tekne capital management,private equity,320.4Cr,2017,8,3
2017-08-14,sports flashes,consumer internet,sports content mobile app,new delhi,bennett coleman and company ltd (bccl),private equity,0.0Cr,2017,8,3
